日期,销量
2020-06-11,1306
2020-06-12,1367
2020-06-13,1357
2020-06-14,1342
2020-06-15,1326
2020-06-16,1388
2020-06-17,1320
2020-06-18,1325
2020-06-19,1395
2020-06-20,1408
2020-06-21,1411
2020-06-22,1410
2020-06-23,1442
2020-06-24,1378
2020-06-25,1379
2020-06-26,1434
2020-06-27,1430
2020-06-28,1431
2020-06-29,1424
2020-06-30,1422
2020-07-01,1463
2020-07-02,1462
2020-07-03,1407
2020-07-04,1488
2020-07-05,1405
2020-07-06,1460
2020-07-07,1431
2020-07-08,1517
2020-07-09,1432
2020-07-10,1463
2020-07-11,1439
2020-07-12,1535
2020-07-13,1530
2020-07-14,1468
2020-07-15,1505
2020-07-16,1524
2020-07-17,1537
2020-07-18,1479
2020-07-19,1555
2020-07-20,1563
2020-07-21,1489
2020-07-22,1561
2020-07-23,1496
2020-07-24,1536
2020-07-25,1554
2020-07-26,1605
2020-07-27,1606
2020-07-28,1577
2020-07-29,1528
2020-07-30,1557
2020-07-31,1543
2020-08-01,1561
2020-08-02,1548
2020-08-03,1565
2020-08-04,1572
2020-08-05,1636
2020-08-06,1653
2020-08-07,1611
2020-08-08,1585
2020-08-09,1670
2020-08-10,1594
2020-08-11,1631
2020-08-12,1628
2020-08-13,1670
2020-08-14,1630
2020-08-15,1659
2020-08-16,1664
2020-08-17,1682
2020-08-18,1698
2020-08-19,1699
2020-08-20,1717
2020-08-21,1658
2020-08-22,1675
2020-08-23,1669
2020-08-24,1720
2020-08-25,1724
2020-08-26,1760
2020-08-27,1673
2020-08-28,1684
2020-08-29,1734
2020-08-30,1754
2020-08-31,1783
2020-09-01,1707
2020-09-02,1734
2020-09-03,1791
2020-09-04,1720
2020-09-05,1750
2020-09-06,1797
2020-09-07,1745
2020-09-08,1795
2020-09-09,1750
2020-09-10,1757
2020-09-11,1800
2020-09-12,1793
2020-09-13,1809
2020-09-14,1788
2020-09-15,1780
2020-09-16,1814
2020-09-17,1836
2020-09-18,1823
2020-09-19,1859
2020-09-20,1882
2020-09-21,1886
2020-09-22,1801
2020-09-23,1861
2020-09-24,1868
2020-09-25,1860
2020-09-26,1820
2020-09-27,1918
2020-09-28,1834
2020-09-29,1903
2020-09-30,1873
2020-10-01,1891
2020-10-02,1943
2020-10-03,1944
2020-10-04,1929
2020-10-05,1865
2020-10-06,1909
2020-10-07,1910
2020-10-08,1920
2020-10-09,1908
2020-10-10,1980
2020-10-11,1977
2020-10-12,1954
2020-10-13,1994
2020-10-14,1981
2020-10-15,1928
2020-10-16,1932
2020-10-17,1979
2020-10-18,1985
2020-10-19,1944
2020-10-20,1956
2020-10-21,1971
2020-10-22,2014
2020-10-23,1991
2020-10-24,2001
2020-10-25,2032
2020-10-26,2007
2020-10-27,1994
2020-10-28,2014
2020-10-29,2054
2020-10-30,2003
2020-10-31,2068
2020-11-01,2026
2020-11-02,2061
2020-11-03,2068
2020-11-04,2107
2020-11-05,2021
2020-11-06,2097
2020-11-07,2106
2020-11-08,2089
2020-11-09,2091
2020-11-10,2081
2020-11-11,2136
2020-11-12,2114
2020-11-13,2065
2020-11-14,2162
2020-11-15,2124
2020-11-16,2134
2020-11-17,2105
2020-11-18,2092
2020-11-19,2189
2020-11-20,2136
2020-11-21,2107
2020-11-22,2161
2020-11-23,2143
2020-11-24,2118
2020-11-25,2193
